Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
55-64;unknown;4;57,5
45-54;female;15;96
Unknown;unknown;0;
55-64;unknown;6;60
45-54;male;21;80,95238095
55-64;male;218;110,13761468
45-54;female;26;135
55-64;female;268;109,6641791
45-54;male;26;70
55-64;female;150;91,73333333
55-64;unknown;19;90,52631579
45-54;male;117;84,78632479
45-54;female;126;86,34920635
45-54;unknown;3;173,33333333
Unknown;unknown;0;
65;female;251;85,25896414
65;male;126;67,93650794
65;unknown;4;75
55-64;male;1132;94,49646643
55-64;female;1211;108,53839802
Unknown;unknown;0;
55-64;female;111;106,30630631
45-54;female;10;141
55-64;unknown;4;145
55-64;male;105;115,14285714
45-54;male;9;38,88888889
Unknown;unknown;0;
45-54;unknown;1;90
Unknown;unknown;0;
55-64;unknown;25;66,8
45-54;male;137;78,39416058
55-64;male;1490;86,65100671
45-54;female;151;99,93377483
55-64;female;1510;103,39072848
Unknown;unknown;0;
55-64;male;64;78,59375
65;female;298;76,24161074
65;male;176;61,875
Unknown;unknown;0;
55-64;female;78;87,82051282
45-54;male;8;53,75
45-54;female;6;111,66666667
55-64;unknown;1;10
65;unknown;7;151,42857143
Unknown;unknown;0;
55-64;unknown;32;83,75
55-64;male;1769;78,17976258
55-64;female;1626;87,87822878
Unknown;unknown;0;
45-54;unknown;1;40
45-54;female;7;104,28571429
Unknown;unknown;0;
45-54;male;160;75,5625
45-54;unknown;4;55
55-64;unknown;2;130
55-64;male;104;83,26923077
45-54;male;8;63,75
55-64;female;115;110,26086957
45-54;female;154;85,38961039
65;unknown;6;138,33333333
65;male;168;72,20238095
55-64;unknown;1;50
65;female;303;73,43234323
45-54;female;6;63,33333333
45-54;male;8;82,5
55-64;female;88;86,93181818
55-64;male;107;86,44859813
Unknown;unknown;0;
55-64;male;184;87,9787234
55-64;female;103;97,30221029
55-64;unknown;5;66,55319149
45-54;male;26;43,66612111
45-54;female;6;63,61702128
55-64;female;3;86,66666667
55-64;male;5;78
Unknown;unknown;0;
45-54;unknown;4;160,10338667
Unknown;unknown;0;
55-64;male;1521;78,07803226
55-64;female;1367;88,2574311
45-54;male;161;70,16953554
45-54;female;115;80,74779502
55-64;unknown;29;90,74825581
45-54;female;2;90
45-54;male;2;95
45-54;unknown;1;110
65;unknown;7;104,28571429
Unknown;unknown;0;
Unknown;unknown;0;
55-64;unknown;3;77,25899912
45-54;female;19;73,19273601
45-54;male;20;61,47129061
55-64;male;259;84,62564534
55-64;female;300;108,73364355
65;female;268;89,47761194
65;male;163;65,88957055
55-64;unknown;1;50
55-64;female;202;67,02970297
45-54;female;113;57,16814159
Unknown;unknown;0;
55-64;male;121;59,83471074
45-54;male;67;43,58208955
Unknown;unknown;0;
45-54;female;92;84,67391304
55-64;unknown;21;152,38095238
55-64;female;875;109,61142857
55-64;male;895;81,36312849
45-54;male;92;70,10869565
45-54;male;4;86,55963303
35-44;male;7;49,46264744
Unknown;unknown;0;
35-44;female;2;42,11009174
Unknown;unknown;0;
45-54;male;6;86,66666667
55-64;male;5;62
45-54;female;5;26
55-64;female;1;80
55-64;male;149;88,52348993
Unknown;unknown;0;
55-64;unknown;2;20
45-54;unknown;2;65
45-54;female;77;71,55844156
35-44;female;201;67,23863717
55-64;female;115;102,69565217
13-17;female;1;80,14805676
13-17;male;2;65,12029611
35-44;unknown;13;44,69795473
Unknown;unknown;0;
Unknown;male;0;
45-54;male;289;58,10040792
55-64;female;139;72,08633094
35-44;male;219;53,70651748
45-54;female;314;67,32181519
45-54;female;6;118,33333333
45-54;unknown;18;53,43203784
55-64;unknown;2;75
45-54;male;39;71,53846154
55-64;male;58;85,34482759
45-54;male;16;71,875
45-54;female;6;40,55045872
45-54;male;1;101,25
45-54;male;19;92,10526316
55-64;male;202;91,23762376
45-54;female;12;130
55-64;unknown;4;25
Unknown;unknown;0;
45-54;female;3;25,3125
35-44;female;1;92,8125
55-64;female;148;100
55-64;male;202;94,75247525
45-54;male;21;67,61904762
45-54;unknown;1;20
Unknown;unknown;0;
55-64;male;122;56,63934426
55-64;unknown;12;58,33333333
55-64;unknown;9;124,44444444
55-64;female;221;98,68778281
55-64;female;1069;113,18054256
Unknown;unknown;0;
Unknown;unknown;0;
45-54;male;21;82,38095238
45-54;male;82;65,24390244
55-64;male;1213;89,92580379
45-54;male;12;36,66666667
Unknown;unknown;0;
55-64;male;31;89,03225806
55-64;female;16;100
Unknown;unknown;0;
45-54;female;9;68,88888889
45-54;male;122;103,1147541
55-64;unknown;16;95
45-54;female;92;97,39130435
Unknown;unknown;0;
55-64;male;284;90,31690141
55-64;female;227;100,79295154
45-54;female;14;65
45-54;female;26;88,07692308
45-54;unknown;4;92,5
45-54;female;142;65,84507042
55-64;female;262;69,3129771
55-64;female;162;90,12345679
35-44;male;3;23,33333333
45-54;male;6;63,33333333
65;male;144;114,44444444
Unknown;unknown;0;
45-54;female;7;47,14285714
45-54;unknown;1;40
Unknown;unknown;0;
45-54;male;26;66,53846154
45-54;male;178;72,13483146
55-64;male;385;91,42857143
55-64;male;1504;87,34707447
55-64;male;7;40,53268765
45-54;male;20;82,75423729
55-64;female;10;28,37288136
55-64;unknown;8;105
55-64;female;280;106,21428571
45-54;female;14;40,53268765
Unknown;unknown;0;
55-64;male;160;82,3125
45-54;female;24;151,66666667
55-64;female;945;99,15343915
45-54;female;88;88,29545455
35-44;female;3;36,66666667
55-64;unknown;7;52,55159825
Unknown;unknown;0;
55-64;female;237;77,56699928
55-64;male;222;66,0196584
45-54;male;267;61,7452792
45-54;female;222;73,04024294
45-54;unknown;13;43,19017994
45-54;female;9;97,77777778
35-44;female;11;56,65909091
45-54;male;13;40,83974359
45-54;female;14;49,46428571
35-44;male;18;51,2962963
45-54;male;1;150
55-64;male;1;10
55-64;female;2;40
45-54;female;3;56,66666667
55-64;unknown;33;75,15151515
45-54;unknown;18;44,49344949
45-54;male;308;58,79139201
45-54;female;277;73,65689389
45-54;unknown;1;20
45-54;male;13;67,69230769
Unknown;unknown;0;
45-54;unknown;1;210
55-64;unknown;6;50
