Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
45-54;female;28;147,37947377
45-54;male;754;91,36604775
25-34;male;526;75,03802281
Unknown;unknown;0;
35-44;male;1110;81,58558559
55-64;male;151;127,7101288
45-54;male;34;112,26113456
Unknown;unknown;0;
45-54;male;79;69,87341772
Unknown;unknown;0;
55-64;male;740;90,55405405
45-54;male;351;81,68091168
Unknown;unknown;0;
45-54;male;25;72
55-64;male;65;71,07692308
55-64;male;181;90,11049724
55-64;male;5;46
45-54;male;1;20
55-64;male;77;78,44155844
Unknown;unknown;0;
Unknown;unknown;0;
45-54;male;887;75,98647125
55-64;male;1707;85,67662566
45-54;male;27;51,48148148
55-64;male;193;82,9015544
55-64;male;22;98,18181818
Unknown;unknown;0;
45-54;male;56;72,14285714
45-54;male;7;85,71428571
45-54;male;41;71,46341463
45-54;male;28;42,5
Unknown;unknown;0;
55-64;male;1555;101,19964767
55-64;male;152;88,15789474
Unknown;unknown;0;
55-64;male;75;68,4
55-64;male;548;90,23722628
Unknown;unknown;0;
45-54;male;863;79,27525825
45-54;male;450;72,44444444
35-44;male;24;72,91666667
25-34;male;5;24
25-34;male;175;77,08571429
Unknown;unknown;0;
65;male;0;
45-54;male;204;90,14705882
45-54;male;11;90,90909091
55-64;male;17;60,58823529
55-64;male;245;106,32653061
35-44;male;17;74,11764706
25-34;male;821;75,00609013
Unknown;unknown;0;
Unknown;unknown;0;
13-17;male;1;10
Unknown;unknown;0;
55-64;male;89;73,93258427
35-44;male;67;51,79104478
55-64;male;28;89,28571429
Unknown;unknown;0;
45-54;male;9;53,33333333
Unknown;unknown;0;
45-54;male;51;76,2745098
55-64;male;970;89,83505155
Unknown;unknown;0;
25-34;male;311;84,14790997
45-54;male;3;36,66666667
55-64;male;7;78,57142857
45-54;male;220;82,22727273
55-64;male;258;116,47286822
35-44;male;21;108,57142857
25-34;male;1605;80,87227414
55-64;male;1373;95,64457393
55-64;male;377;88,01061008
45-54;male;156;81,08974359
25-34;male;17;61,17647059
Unknown;unknown;0;
45-54;male;754;77,94429708
Unknown;unknown;0;
45-54;male;788;68,78172589
Unknown;unknown;0;
45-54;male;151;86,55629139
55-64;male;239;52,59414226
45-54;male;140;44,35714286
45-54;male;1005;65,37313433
Unknown;unknown;0;
Unknown;unknown;0;
65;male;0;
45-54;male;6;108,33333333
55-64;male;10;57
55-64;male;976;86,875
45-54;male;576;74,82638889
Unknown;unknown;0;
55-64;male;871;73,99540758
45-54;male;395;69,39240506
Unknown;unknown;0;
55-64;male;89;100,4494382
45-54;male;27;86,2962963
35-44;male;11;187,27272727
Unknown;unknown;0;
55-64;male;1008;89,07738095
35-44;male;80;69,125
13-17;male;1;20
55-64;male;153;124,44444444
45-54;male;1087;73,59705612
Unknown;unknown;0;
55-64;male;114;127,19298246
Unknown;unknown;0;
55-64;male;242;95,90909091
35-44;male;6;81,66666667
45-54;male;2;45
55-64;male;7;47,14285714
55-64;male;4;22,5
45-54;male;1;40
35-44;male;1;20
45-54;male;51;108,62745098
55-64;male;54;105,18518519
Unknown;unknown;0;
45-54;male;268;66,56716418
35-44;male;9;97,77777778
35-44;male;20;57,5
13-17;male;1;70
65;male;0;
Unknown;unknown;0;
45-54;male;97;94,84536082
Unknown;unknown;0;
45-54;male;31;45,48387097
55-64;male;86;75,58139535
45-54;male;151;130,39735099
55-64;male;112;105,35714286
55-64;male;2120;77,00943396
Unknown;unknown;0;
65;male;43;73,95348837
65;female;43;58,60465116
Unknown;unknown;0;
65;female;267;62,05992509
65;male;234;55,68376068
65;unknown;4;22,5
Unknown;unknown;0;
65;female;287;58,64111498
65;male;246;49,43089431
65;unknown;6;81,66666667
Unknown;unknown;0;
65;female;262;59,77099237
65;male;223;52,60089686
65;unknown;10;90
Unknown;unknown;0;
65;female;108;92,22222222
65;male;81;68,27160494
Unknown;unknown;0;
65;unknown;1;90
55-64;unknown;1;20
45-54;male;3;13,33333333
45-54;female;7;80
55-64;female;21;87,61904762
55-64;male;22;69,09090909
Unknown;unknown;0;
55-64;unknown;8;50
45-54;unknown;9;60
45-54;male;104;59,32692308
55-64;male;207;71,88405797
45-54;female;220;71,18181818
55-64;female;441;77,95918367
Unknown;unknown;0;
45-54;male;169;64,73372781
45-54;female;10;46
55-64;female;584;88,09931507
55-64;unknown;23;105,2173913
45-54;unknown;9;70
Unknown;unknown;0;
Unknown;unknown;0;
45-54;unknown;1;40
45-54;male;13;32,30769231
45-54;female;327;61,37614679
55-64;male;30;86,33333333
55-64;female;35;71,71428571
55-64;male;372;70,67204301
45-54;female;2;25
45-54;male;5;28
55-64;female;8;67,5
55-64;male;14;62,85714286
45-54;male;182;73,9010989
55-64;unknown;13;38,46153846
45-54;unknown;18;47,22222222
55-64;male;365;71,53424658
45-54;female;380;71,13157895
55-64;female;582;80,82474227
Unknown;unknown;0;
55-64;female;21;96,19047619
45-54;female;323;75,94427245
45-54;male;8;43,75
45-54;female;6;43,33333333
55-64;unknown;1;20
55-64;unknown;17;95,88235294
55-64;male;308;71,62337662
45-54;male;134;59,62686567
55-64;female;596;92,58389262
45-54;unknown;11;68,18181818
Unknown;unknown;0;
55-64;male;25;69,2
Unknown;unknown;0;
Unknown;unknown;0;
45-54;female;385;62,85714286
45-54;unknown;7;55,71428571
55-64;unknown;12;38,33333333
45-54;male;121;64,46280992
45-54;unknown;2;70
55-64;male;237;71,09704641
55-64;female;628;89,55414013
55-64;female;54;101,48148148
55-64;male;48;80
45-54;female;26;57,30769231
45-54;male;25;36,8
Unknown;unknown;0;
Unknown;unknown;0;
18-24;male;17;73,52941176
25-34;male;59;39,66101695
18-24;male;42;55,95238095
25-34;male;116;42,75862069
Unknown;unknown;0;
65;male;87;69,54022989
65;female;142;91,4084507
65;female;511;100,64579256
Unknown;unknown;0;
Unknown;unknown;0;
65;unknown;4;165
65;female;269;79,21933086
65;male;160;57,9375
65;unknown;13;55,38461538
Unknown;unknown;0;
65;female;216;86,38888889
65;male;157;68,78980892
65;unknown;8;63,75
Unknown;unknown;0;
65;female;211;102,79620853
65;unknown;3;80
Unknown;unknown;0;
65;male;142;74,22535211
Unknown;unknown;0;
18-24;male;8;107,5
25-34;male;400;67,925
18-24;male;174;69,1954023
Unknown;unknown;0;
25-34;male;19;55,26315789
Unknown;unknown;0;
Unknown;unknown;0;
55-64;unknown;13;56,15384615
45-54;male;22;111,81818182
55-64;unknown;30;79,66666667
45-54;female;37;90,54054054
55-64;male;402;77,3880597
35-44;male;10;41
55-64;female;485;92,04123711
45-54;male;116;60,43103448
45-54;male;534;57,82771536
55-64;male;430;70,34883721
35-44;male;57;45,26315789
Unknown;unknown;0;
Unknown;unknown;0;
55-64;male;150;59,26666667
45-54;unknown;3;50
55-64;female;681;87,51835536
45-54;female;51;63,33333333
45-54;male;30;65,66666667
45-54;unknown;1;0
45-54;female;64;64,0625
Unknown;unknown;0;
Unknown;unknown;0;
55-64;male;1134;60,02645503
55-64;female;706;66,35977337
55-64;male;363;70,52341598
45-54;male;100;48,2
55-64;unknown;8;55
45-54;female;84;58,57142857
45-54;unknown;1;10
Unknown;unknown;0;
Unknown;unknown;0;
35-44;male;24;43,33333333
Unknown;unknown;0;
55-64;male;364;66,75824176
45-54;male;374;54,06417112
Unknown;unknown;0;
35-44;male;135;54,59259259
55-64;male;1322;64,44780635
45-54;male;1724;54,61136891
55-64;female;1029;101,797862
55-64;male;352;74,40340909
45-54;male;32;55,625
45-54;female;38;99,21052632
55-64;unknown;21;55,71428571
45-54;unknown;4;50
55-64;female;922;72,29934924
55-64;male;872;57,02981651
Unknown;unknown;0;
45-54;female;81;49,62962963
55-64;unknown;11;111,81818182
45-54;male;27;98,51851852
55-64;unknown;16;81,25
45-54;male;80;67,375
55-64;female;391;103,75959079
55-64;male;332;106,86746988
55-64;female;32;80,3125
55-64;male;19;64,73684211
45-54;female;13;82,30769231
Unknown;unknown;0;
45-54;unknown;2;40
Unknown;unknown;0;
45-54;male;5;40
55-64;unknown;5;66
45-54;male;41;57,56097561
45-54;female;108;70,55555556
55-64;male;117;69,74358974
55-64;female;242;86,98347107
45-54;female;27;65,92592593
45-54;female;316;67,08860759
Unknown;unknown;0;
45-54;unknown;1;50
55-64;unknown;2;45
45-54;male;8;43,75
55-64;female;740;77,58108108
55-64;male;33;50,60606061
45-54;unknown;8;50
55-64;female;69;65,50724638
Unknown;unknown;0;
55-64;unknown;21;58,57142857
45-54;male;119;63,78151261
55-64;male;286;68,77622378
55-64;unknown;2;45
35-44;male;16;43,75
35-44;female;19;29,47368421
55-64;male;24;35
55-64;female;38;49,47368421
45-54;male;57;35,96491228
45-54;female;73;56,71232877
45-54;male;569;43,19859402
45-54;female;891;52,04264871
55-64;female;341;61,70087977
35-44;female;260;48,26923077
35-44;male;136;46,76470588
45-54;unknown;34;54,11764706
55-64;unknown;14;40
35-44;unknown;10;37
Unknown;unknown;0;
55-64;male;301;53,05647841
45-54;unknown;2;40
55-64;unknown;15;70
55-64;female;4;130
45-54;male;120;66,75
55-64;male;320;66
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
45-54;female;338;72,13017751
55-64;male;2;155
55-64;female;771;78,56031128
45-54;unknown;15;46,66666667
45-54;female;3;43,33333333
65;female;26;94,23076923
65;male;15;81,33333333
65;unknown;1;60
Unknown;unknown;0;
18-24;male;8;73,75
45-54;unknown;14;70
65;male;73;77,67123288
65;unknown;3;146,66666667
Unknown;unknown;0;
55-64;unknown;20;78
45-54;male;108;63,24074074
55-64;male;206;77,23300971
45-54;female;373;61,55495979
55-64;female;768;75,703125
65;female;156;101,34615385
25-34;male;62;48,87096774
Unknown;unknown;0;
45-54;male;5;136
18-24;female;168;55,23809524
25-34;female;123;53,33333333
18-24;male;76;47,36842105
25-34;unknown;4;32,5
25-34;unknown;2;30
Unknown;unknown;0;
18-24;unknown;3;60
55-64;female;12;118,33333333
55-64;male;12;102,5
45-54;female;14;92,85714286
25-34;female;64;48,90625
25-34;male;37;47,56756757
18-24;female;20;78,5
55-64;female;308;110,77922078
Unknown;unknown;0;
65;unknown;0;
55-64;unknown;6;143,33333333
55-64;male;301;91,99335548
55-64;female;333;77,74774775
55-64;male;178;69,38202247
13-17;unknown;1;50
55-64;unknown;12;70
Unknown;unknown;0;
Unknown;unknown;0;
25-34;unknown;17;52,35294118
25-34;male;210;45,28571429
18-24;male;231;57,18614719
25-34;female;490;42,89795918
65;unknown;12;80,83333333
65;unknown;0;
13-17;unknown;1;40
Unknown;unknown;0;
55-64;unknown;38;88,15789474
55-64;female;1397;84,14459556
55-64;male;1639;77,01037218
Unknown;unknown;0;
55-64;female;32;115,9375
55-64;male;34;87,94117647
55-64;unknown;1;110
18-24;unknown;9;40
18-24;female;536;51,08208955
18-24;male;73;60,82191781
65;female;626;103,514377
65;unknown;6;50
65;male;304;92,13815789
25-34;female;447;50,44742729
65;male;104;101,82692308
65;female;167;79,28143713
Unknown;unknown;0;
18-24;unknown;6;38,33333333
25-34;unknown;8;71,25
Unknown;unknown;0;
18-24;female;159;63,08176101
25-34;male;177;56,38418079
65;female;0;
55-64;female;759;82,17271516
55-64;male;312;74,78285229
55-64;unknown;16;51,79120515
Unknown;unknown;0;
65;male;0;
Unknown;unknown;0;
55-64;unknown;4;44,81387868
13-17;female;1;29,87591912
13-17;male;3;19,91727941
Unknown;unknown;0;
55-64;unknown;12;63,33333333
55-64;male;345;75,15942029
55-64;female;630;83,6031746
55-64;male;383;74,67679696
Unknown;unknown;0;
65;female;0;
13-17;female;3;159,77072108
55-64;unknown;27;58,43466188
55-64;female;1188;91,215902
55-64;male;736;86,66910379
55-64;female;399;90,57619923
18-24;female;15;81,33333333
13-17;female;913;9,20043812
13-17;male;512;9,23828125
18-24;female;353;69,60339943
18-24;male;110;67,36363636
13-17;unknown;42;9,52380952
18-24;unknown;11;65,45454545
Unknown;unknown;0;
13-17;female;56;11,78571429
13-17;male;25;6,4
18-24;male;4;57,5
18-24;unknown;1;80
55-64;male;10;39
55-64;male;3;36,66666667
45-54;male;2;65
45-54;male;5;60
55-64;male;9;135,55555556
45-54;male;5;194
Unknown;unknown;0;
18-24;male;49;71,83673469
25-34;male;207;62,85024155
Unknown;unknown;0;
65;female;220;133,72727273
18-24;male;9;53,33333333
25-34;male;52;59,42307692
Unknown;unknown;0;
18-24;male;44;63,86363636
25-34;male;172;60,93023256
Unknown;unknown;0;
Unknown;unknown;0;
25-34;male;980;56,60204082
18-24;male;279;65,94982079
45-54;male;16;112,5
55-64;male;66;138,93939394
55-64;male;28;119,28571429
45-54;male;30;121
Unknown;unknown;0;
55-64;male;25;108
Unknown;unknown;0;
45-54;male;54;153,51851852
55-64;male;293;139,55631399
45-54;male;201;105,97014925
Unknown;unknown;0;
55-64;male;128;120
Unknown;unknown;0;
45-54;male;102;86,2745098
Unknown;unknown;0;
45-54;male;228;110,04385965
55-64;male;347;110,43227666
45-54;male;180;93,88888889
55-64;male;302;120,62913907
Unknown;unknown;0;
Unknown;unknown;0;
45-54;male;166;83,97590361
Unknown;unknown;0;
55-64;male;258;118,37209302
45-54;male;168;106,60714286
Unknown;unknown;0;
55-64;male;222;95,40540541
Unknown;unknown;0;
18-24;male;86;69,30232558
55-64;male;162;128,39506173
45-54;male;66;93,63636364
55-64;male;614;100,52117264
45-54;male;28;93,57142857
55-64;male;43;78,8372093
45-54;male;374;81,89839572
45-54;male;217;106,49769585
25-34;male;412;58,17961165
Unknown;unknown;0;
55-64;male;179;138,99441341
45-54;male;151;89,53642384
Unknown;unknown;0;
45-54;male;4;57,5
55-64;male;12;124,16666667
Unknown;unknown;0;
45-54;male;11;42,72727273
55-64;male;191;125,96858639
55-64;male;37;76,48648649
55-64;male;158;112,65822785
Unknown;unknown;0;
45-54;male;75;86,8
Unknown;unknown;0;
45-54;male;151;73,70860927
Unknown;unknown;0;
18-24;male;144;75,34722222
55-64;male;226;68,62831858
55-64;male;1530;93,30065359
Unknown;unknown;0;
45-54;male;60;78,5
55-64;male;94;76,70212766
45-54;male;958;85,44885177
25-34;male;633;59,51026856
Unknown;unknown;0;
Unknown;unknown;0;
25-34;male;560;63,08928571
18-24;male;101;69,8019802
Unknown;unknown;0;
18-24;male;171;75,96491228
Unknown;unknown;0;
25-34;male;365;63,83561644
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
25-34;male;268;66,71641791
18-24;male;64;73,75
Unknown;unknown;0;
Unknown;unknown;0;
25-34;male;307;69,6742671
25-34;male;1599;78,29268293
Unknown;unknown;0;
25-34;male;54;86,48148148
25-34;male;547;58,62888483
18-24;male;112;59,91071429
Unknown;unknown;0;
25-34;male;1776;85,14076577
Unknown;unknown;0;
25-34;male;260;67,30769231
25-34;male;63;75,55555556
Unknown;unknown;0;
18-24;male;52;61,15384615
Unknown;unknown;0;
25-34;male;217;59,35483871
18-24;male;127;61,49606299
Unknown;unknown;0;
25-34;male;830;54,21686747
25-34;unknown;1;30
Unknown;unknown;0;
25-34;male;41;70,97560976
35-44;male;50;131,2
35-44;unknown;5;98
45-54;female;51;129,60784314
25-34;female;137;70,3649635
35-44;female;380;102,73684211
45-54;male;9;125,55555556
25-34;unknown;2;15
45-54;male;2;55
45-54;female;6;98,33333333
25-34;female;9;293,33333333
25-34;male;11;109,09090909
35-44;female;27;150
35-44;male;29;133,44827586
35-44;unknown;8;97,5
35-44;female;303;85,67656766
45-54;female;68;125
35-44;male;77;79,87012987
25-34;female;197;75,32994924
35-44;female;418;92,15311005
45-54;male;16;151,25
25-34;male;65;55,69230769
35-44;male;169;110,82840237
35-44;unknown;8;41,25
45-54;female;57;121,22807018
35-44;unknown;8;53,75
45-54;unknown;1;120
45-54;male;21;94,76190476
45-54;unknown;1;50
25-34;female;77;75,06493506
Unknown;unknown;0;
25-34;male;55;89,27272727
Unknown;unknown;0;
25-34;female;5;70
Unknown;unknown;0;
35-44;unknown;1;110
25-34;unknown;2;30
35-44;male;93;68,70967742
25-34;male;146;64,31506849
35-44;female;151;67,61589404
25-34;female;180;65,66666667
35-44;female;5;68
25-34;male;5;70
25-34;unknown;3;66,66666667
25-34;male;783;94,31673052
Unknown;unknown;0;
35-44;female;486;86,56378601
25-34;female;248;67,7016129
35-44;male;179;91,95530726
25-34;male;123;76,2601626
45-54;female;57;103,15789474
45-54;male;17;60
35-44;unknown;12;89,16666667
25-34;male;54;64,44444444
25-34;male;222;67,79279279
Unknown;unknown;0;
45-54;unknown;1;50
35-44;unknown;13;66,92307692
25-34;female;680;66,45588235
Unknown;unknown;0;
18-24;male;78;65,12820513
25-34;male;359;57,63231198
35-44;male;282;67,12765957
Unknown;unknown;0;
25-34;unknown;8;31,25
35-44;female;464;78,0387931
25-34;male;2;30
25-34;female;7;54,28571429
35-44;female;10;143
25-34;male;525;70,78095238
35-44;male;2;30
35-44;unknown;12;96,66666667
25-34;female;712;60,28089888
35-44;female;537;60,98696462
25-34;male;428;60,86448598
35-44;male;263;65,32319392
Unknown;unknown;0;
25-34;male;717;53,0264993
18-24;male;100;52,6
Unknown;unknown;0;
25-34;unknown;13;67,69230769
25-34;female;7;72,85714286
35-44;female;3;60
35-44;male;1;30
35-44;unknown;1;10
25-34;male;2;95
Unknown;unknown;0;
35-44;unknown;13;86,15384615
25-34;unknown;16;75
35-44;male;189;61,9047619
25-34;male;315;55,17460317
35-44;female;521;63,89635317
25-34;female;562;58,57651246
25-34;male;2;50
25-34;male;476;58,67647059
18-24;male;52;56,15384615
Unknown;unknown;0;
25-34;female;8;56,25
35-44;female;8;78,75
35-44;unknown;20;41,5
35-44;male;206;59,36893204
25-34;male;318;55,97484277
35-44;female;551;55,20871143
25-34;female;642;55,73208723
25-34;unknown;7;121,42857143
25-34;female;10;58
Unknown;unknown;0;
35-44;unknown;1;20
25-34;male;7;91,42857143
25-34;unknown;2;40
35-44;male;3;110
35-44;female;5;74
13-17;female;1;150
Unknown;unknown;0;
35-44;unknown;9;36,66666667
25-34;unknown;9;28,88888889
35-44;male;3;56,66666667
35-44;male;142;53,45070423
25-34;male;281;52,8113879
35-44;female;628;65
25-34;female;722;56,01108033
35-44;female;6;78,33333333
25-34;male;6;61,66666667
25-34;female;9;57,77777778
25-34;female;595;64,16806723
Unknown;unknown;0;
25-34;unknown;1;40
13-17;female;1;40
35-44;female;13;143,07692308
25-34;male;9;65,55555556
35-44;male;8;127,5
35-44;unknown;2;30
25-34;female;20;110,5
35-44;unknown;9;61,11111111
25-34;unknown;10;48
35-44;male;154;79,54545455
25-34;male;245;59,14285714
35-44;female;493;66,89655172
35-44;unknown;10;63
Unknown;unknown;0;
25-34;female;83;74,3373494
35-44;female;77;103,11688312
25-34;male;34;82,94117647
25-34;unknown;11;30,90909091
35-44;unknown;2;35
25-34;unknown;1;50
Unknown;unknown;0;
35-44;male;13;50
25-34;female;449;63,34075724
35-44;female;377;70,0530504
25-34;male;210;55,9047619
35-44;male;140;67,28571429
Unknown;unknown;0;
35-44;unknown;9;71,11111111
25-34;unknown;14;95,71428571
35-44;male;119;66,13445378
25-34;male;201;57,26368159
35-44;female;409;64,71882641
25-34;female;501;66,70658683
Unknown;unknown;0;
25-34;unknown;1;60
35-44;unknown;1;140
35-44;male;15;48,66666667
25-34;male;21;77,61904762
25-34;female;73;92,73972603
35-44;female;74;76,62162162
Unknown;unknown;0;
Unknown;unknown;0;
25-34;unknown;1;0
35-44;unknown;2;45
25-34;male;18;48,33333333
35-44;male;23;82,60869565
25-34;female;63;72,53968254
35-44;female;75;83,6
Unknown;unknown;0;
35-44;male;102;67,25490196
25-34;unknown;12;86,66666667
Unknown;unknown;0;
25-34;female;454;77,2246696
25-34;male;211;59,81042654
35-44;female;318;84,81132075
35-44;unknown;8;51,25
25-34;male;64;76,40625
Unknown;unknown;0;
25-34;male;167;70,95808383
35-44;female;128;84,609375
25-34;female;118;77,88135593
25-34;male;58;72,06896552
Unknown;unknown;0;
35-44;male;48;88,125
35-44;unknown;5;54
25-34;unknown;3;40
25-34;male;717;85,76011158
Unknown;unknown;0;
35-44;unknown;4;55
25-34;unknown;6;53,33333333
35-44;male;82;85,97560976
25-34;male;118;68,72881356
35-44;female;245;78,24489796
25-34;female;295;72,84745763
Unknown;unknown;0;
25-34;male;33;65,75757576
25-34;female;77;97,14285714
35-44;female;75;83,2
25-34;female;123;86,17886179
35-44;female;81;98,27160494
35-44;male;32;81,25
35-44;male;27;71,11111111
25-34;male;56;74,46428571
35-44;unknown;3;66,66666667
35-44;unknown;2;85
Unknown;unknown;0;
Unknown;unknown;0;
35-44;male;251;72,66932271
45-54;male;149;92,01342282
25-34;male;109;65,2293578
Unknown;unknown;0;
18-24;male;66;45,90909091
25-34;male;312;41,69871795
25-34;male;1016;47,53937008
18-24;male;361;55,15235457
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
25-34;male;731;47,6744186
18-24;male;195;61,69230769
Unknown;unknown;0;
25-34;male;115;39,82608696
18-24;male;18;46,66666667
Unknown;unknown;0;
25-34;male;272;46,21323529
25-34;male;351;49,17378917
Unknown;unknown;0;
18-24;male;56;46,96428571
18-24;male;102;55,29411765
Unknown;unknown;0;
18-24;male;282;50,03546099
25-34;male;1027;49,44498539
Unknown;unknown;0;
18-24;male;78;49,61538462
25-34;male;569;41,6344464
Unknown;unknown;0;
25-34;male;240;47,95833333
Unknown;unknown;0;
18-24;male;317;58,70662461
25-34;male;806;49,80148883
18-24;male;55;46,90909091
Unknown;unknown;0;
18-24;male;315;59,01587302
Unknown;unknown;0;
18-24;male;99;56,06060606
25-34;male;453;44,85651214
25-34;male;951;49,61093586
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
Unknown;unknown;0;
65;unknown;3;73,33333333
Unknown;unknown;0;
65;female;104;107,69230769
Unknown;unknown;0;
Unknown;unknown;0;
65;male;69;68,26086957
Unknown;unknown;0;
Unknown;unknown;0;
65;unknown;7;107,14285714
65;female;433;129,95381062
65;male;279;102,40143369
25-34;male;51;54,31372549
13-17;unknown;42;11,42857143
13-17;female;944;21,53601695
25-34;unknown;2;50
18-24;male;32;50,3125
13-17;male;590;18,06779661
25-34;unknown;13;33,07692308
Unknown;unknown;0;
25-34;male;198;39,39393939
25-34;female;560;42,66071429
18-24;female;337;50,29673591
18-24;unknown;1;50
18-24;unknown;6;36,66666667
18-24;female;26;60,38461538
18-24;male;11;78,18181818
18-24;unknown;8;76,25
18-24;male;114;46,75438596
Unknown;unknown;0;
Unknown;unknown;0;
18-24;female;2;95
18-24;male;1;30
18-24;female;403;66,52605459
18-24;male;170;65,70588235
25-34;female;27;44,81481481
65;female;248;74,23387097
Unknown;unknown;0;
Unknown;unknown;0;
65;female;506;97,29249012
65;male;306;74,31372549
65;unknown;13;60
Unknown;unknown;0;
Unknown;unknown;0;
65;female;351;97,74928775
Unknown;unknown;0;
18-24;male;19;44,21052632
25-34;male;132;33,18181818
18-24;female;23;54,7826087
18-24;male;452;42,8539823
25-34;male;1358;36,72312224
Unknown;unknown;0;
65;unknown;7;81,42857143
65;male;144;71,18055556
Unknown;unknown;0;
18-24;female;4;47,5
25-34;male;314;44,87261146
Unknown;unknown;0;
Unknown;unknown;0;
13-17;male;136;16,47058824
13-17;female;115;18,69565217
18-24;unknown;3;43,33333333
25-34;unknown;7;25,71428571
18-24;female;1054;58,69070209
65;unknown;4;75
65;male;9;48,88888889
13-17;unknown;8;20
18-24;female;1;50
Unknown;unknown;0;
18-24;unknown;2;50
18-24;male;3;36,66666667
18-24;male;454;58,28193833
65;female;304;99,50657895
25-34;unknown;2;25
18-24;female;51;111,96078431
25-34;male;25;35,2
18-24;male;10;45
Unknown;unknown;0;
18-24;female;18;41,66666667
25-34;female;60;39,66666667
65;female;17;70,58823529
18-24;unknown;20;47
Unknown;unknown;0;
18-24;female;223;61,92825112
18-24;male;206;46,60194175
25-34;female;301;47,27574751
Unknown;unknown;0;
13-17;female;1;20
13-17;male;1;50
18-24;male;24;60,83333333
65;male;302;79,33774834
13-17;unknown;94;9,78723404
13-17;female;2958;17,69776876
Unknown;unknown;0;
65;unknown;12;58,33333333
13-17;male;2121;14,62989156
45-54;male;1;90
55-64;male;162;80,0617284
45-54;male;84;76,9047619
55-64;unknown;10;71
45-54;unknown;4;52,5
Unknown;unknown;0;
55-64;male;7;34,28571429
55-64;female;3;460
18-24;female;4;80
45-54;female;1;110
18-24;male;12;60,83333333
55-64;female;336;103,27380952
18-24;unknown;1;110
18-24;female;924;56,73160173
18-24;male;408;57,18137255
13-17;male;2;70
Unknown;unknown;0;
Unknown;unknown;0;
45-54;female;179;70,72625698
18-24;unknown;23;36,52173913
Unknown;unknown;0;
45-54;female;1;10
18-24;unknown;36;46,38888889
18-24;male;440;45,13636364
18-24;female;972;53,08641975
Unknown;unknown;0;
18-24;male;187;55,34759358
Unknown;unknown;0;
25-34;male;534;41,91011236
18-24;male;28;41,42857143
45-54;unknown;6;40
25-34;male;158;37,34177215
18-24;female;13;56,15384615
18-24;male;14;83,57142857
Unknown;unknown;0;
Unknown;unknown;0;
13-17;male;3;16,66666667
45-54;male;4;67,5
55-64;female;6;106,66666667
55-64;male;18;117,22222222
55-64;unknown;8;32,5
55-64;male;216;95,60185185
45-54;female;295;76,03389831
55-64;female;424;95,75471698
45-54;male;118;60
Unknown;unknown;0;
18-24;male;21;49,04761905
18-24;female;52;63,07692308
55-64;unknown;3;60
45-54;unknown;3;363,33333333
Unknown;unknown;0;
55-64;male;18;85
45-54;male;6;68,33333333
55-64;female;3;126,66666667
13-17;female;1;50
Unknown;unknown;0;
18-24;male;204;73,87254902
18-24;unknown;8;130
18-24;female;248;67,62096774
55-64;male;180;100,55555556
Unknown;unknown;0;
55-64;female;235;121,78723404
45-54;male;144;86,25
45-54;female;161;95,77639752
Unknown;unknown;0;
Unknown;unknown;0;
18-24;male;48;39,16666667
18-24;male;189;50
25-34;male;196;39,59183673
Unknown;unknown;0;
25-34;male;548;41,00364964
13-17;unknown;45;10,44444444
18-24;unknown;3;20
18-24;male;1;130
18-24;male;75;59,06666667
Unknown;unknown;0;
13-17;unknown;2;40
18-24;female;10;88
Unknown;unknown;0;
13-17;male;77;20,51948052
13-17;female;1052;15,48479087
18-24;female;154;70
13-17;male;795;13,33333333
13-17;female;107;22,14953271
Unknown;unknown;0;
13-17;unknown;10;18
18-24;male;14;47,14285714
Unknown;unknown;0;
18-24;female;24;60
13-17;male;264;23,4469697
13-17;female;307;27,65472313
18-24;male;156;53,01282051
Unknown;unknown;0;
18-24;male;57;51,22807018
18-24;male;79;60
25-34;male;162;33,20987654
13-17;female;2230;12,64125561
13-17;male;1524;12,60498688
18-24;unknown;3;76,66666667
Unknown;unknown;0;
18-24;female;177;60,2259887
13-17;unknown;104;15,19230769
25-34;male;502;41,61354582
13-17;unknown;13;36,15384615
18-24;male;15;56,66666667
18-24;unknown;5;70
13-17;male;354;24,06779661
13-17;female;506;31,02766798
18-24;male;76;50,26315789
Unknown;unknown;0;
18-24;unknown;2;30
18-24;female;39;71,02564103
13-17;unknown;99;13,23232323
Unknown;unknown;0;
18-24;female;144;60,41666667
13-17;female;1707;13,23960164
13-17;male;1368;12,28070175
Unknown;unknown;0;
Unknown;unknown;0;
18-24;male;46;55,86956522
13-17;male;790;19,90107676
13-17;female;652;28,07330802
18-24;female;44;69,59791529
18-24;male;38;47,66750923
13-17;unknown;32;18,4514081
18-24;unknown;4;77,55846115
Unknown;unknown;0;
13-17;unknown;79;12,65822785
13-17;female;1044;14,40613027
18-24;female;82;50,12195122
Unknown;unknown;0;
18-24;unknown;4;60
13-17;male;928;13,89008621
55-64;female;10;89
55-64;male;3;63,33333333
45-54;female;6;75
55-64;male;125;53,92
25-34;male;356;41,37640449
